 ,Area,Perim.,Circ.,AR,Round,Solidity,EqDiam_um,Image
309,21202,781.7372,0.4360,2.7065,0.3695,0.8877,164.3022,young37.png
310,179,70.2843,0.4554,4.3930,0.2276,0.8463,15.0967,young37.png
311,84,44.8701,0.5243,2.1606,0.4628,0.6971,10.3418,young37.png
312,171,54.5269,0.7227,2.4120,0.4146,0.9024,14.7555,young37.png
313,1581,176.3675,0.6387,2.6491,0.3775,0.9570,44.8664,young37.png
314,1204,153.1960,0.6447,2.2921,0.4363,0.9366,39.1533,young37.png
315,309,69.2548,0.8096,1.5288,0.6541,0.9102,19.8351,young37.png
316,351,84.9117,0.6118,2.4938,0.4010,0.8797,21.1402,young37.png
317,28384,1624.5109,0.1352,2.6423,0.3785,0.7833,190.1043,young37.png
318,14793,824.7422,0.2733,5.2967,0.1888,0.8747,137.2408,young37.png
319,22,16.7279,0.9880,1.1134,0.8981,0.8800,5.2926,young37.png
320,8,10.4853,0.9144,1.9887,0.5028,0.8000,3.1915,young37.png
321,41,25.5563,0.7889,2.2354,0.4474,0.9111,7.2252,young37.png
322,20,15.8995,0.9942,1.1873,0.8423,0.9091,5.0463,young37.png
323,479,96.2254,0.6501,1.9625,0.5096,0.8838,24.6958,young37.png
324,919,154.0244,0.4868,3.0557,0.3273,0.8505,34.2068,young37.png
325,6243,331.5046,0.7139,1.1589,0.8629,0.8734,89.1562,young37.png
326,11774,663.6539,0.3359,1.5773,0.6340,0.8806,122.4382,young37.png
327,236,62.7696,0.7527,1.9757,0.5061,0.9310,17.3345,young37.png
328,1123,174.1665,0.4652,3.1879,0.3137,0.9013,37.8133,young37.png
329,67,32.6274,0.7909,1.9868,0.5033,0.8590,9.2362,young37.png
330,507,106.3675,0.5631,2.0413,0.4899,0.8171,25.4073,young37.png
331,3217,223.7229,0.8077,1.4389,0.6950,0.9622,64.0001,young37.png
332,28,20.3848,0.8468,1.5900,0.6289,0.8000,5.9708,young37.png
333,5008,306.3503,0.6706,1.5295,0.6538,0.9287,79.8523,young37.png
334,7256,411.5462,0.5384,1.5092,0.6626,0.8380,96.1178,young37.png
335,317,88.8112,0.5050,3.6685,0.2726,0.8904,20.0902,young37.png
336,10788,542.4996,0.4606,1.4258,0.7014,0.8819,117.1994,young37.png
337,7251,475.7300,0.4026,1.8746,0.5334,0.8743,96.0846,young37.png
338,1316,144.4680,0.7924,1.6155,0.6190,0.9578,40.9339,young37.png
339,7637,447.8894,0.4784,2.0868,0.4792,0.8789,98.6090,young37.png
340,24,16.7279,1.0000,1.2220,0.8184,0.9057,5.5279,young37.png
341,28,20.1421,0.8673,2.0656,0.4841,0.8750,5.9708,young37.png
342,1090,185.6396,0.3975,4.2671,0.2344,0.8549,37.2536,young37.png
343,1952,240.3087,0.4248,1.4243,0.7021,0.8376,49.8534,young37.png
344,60,29.7990,0.8491,1.7956,0.5569,0.8955,8.7404,young37.png
345,1538,156.6102,0.7880,1.1857,0.8434,0.9412,44.2520,young37.png
346,6924,505.7300,0.3402,3.2490,0.3078,0.8115,93.8931,young37.png
347,3466,361.7056,0.3329,3.6076,0.2772,0.7798,66.4308,young37.png
348,18369,1072.2712,0.2008,2.0199,0.4951,0.7086,152.9318,young37.png
349,1034,158.2254,0.5190,2.5302,0.3952,0.8921,36.2840,young37.png
350,218,69.3553,0.5695,3.2904,0.3039,0.9046,16.6603,young37.png
351,28,22.7279,0.6812,2.5675,0.3895,0.7887,5.9708,young37.png
352,1996,248.5513,0.4060,4.1076,0.2435,0.9036,50.4122,young37.png
353,1563,185.3970,0.5714,3.2524,0.3075,0.9447,44.6102,young37.png
