 ,Area,Perim.,Circ.,AR,Round,Solidity,EqDiam_um,Image
144,2754,272.1493,0.4673,1.1217,0.8915,0.8659,59.2157,old 9.png
145,36,23.2132,0.8395,1.7646,0.5667,0.8276,6.7703,old 9.png
146,28,18.7279,1.0000,1.4510,0.6892,0.9032,5.9708,old 9.png
147,47,28.7279,0.7156,2.4335,0.4109,0.8624,7.7358,old 9.png
148,13,13.3137,0.9216,1.4205,0.7040,0.8125,4.0684,old 9.png
149,122,47.4558,0.6808,2.0831,0.4801,0.8938,12.4634,old 9.png
150,33,20.7279,0.9652,1.6113,0.6206,0.9167,6.4820,old 9.png
151,63,39.2132,0.5149,3.8340,0.2608,0.7778,8.9562,old 9.png
152,10,13.3137,0.7089,1.6597,0.6025,0.6897,3.5682,old 9.png
153,12,12.4853,0.9674,1.9394,0.5156,0.8889,3.9088,old 9.png
154,11227,620.3991,0.3665,1.4486,0.6903,0.7979,119.5603,old 9.png
155,55169,2132.4419,0.1525,3.5133,0.2846,0.6745,265.0346,old 9.png
156,80,37.5563,0.7127,2.3729,0.4214,0.9040,10.0925,old 9.png
157,9132,461.2864,0.5393,1.9141,0.5224,0.8330,107.8296,old 9.png
158,36,27.7990,0.5854,2.5983,0.3849,0.7742,6.7703,old 9.png
159,65,33.7990,0.7150,1.7934,0.5576,0.9091,9.0973,old 9.png
160,144,47.4558,0.8035,1.7670,0.5659,0.9028,13.5406,old 9.png
161,84,44.2843,0.5383,2.6269,0.3807,0.7568,10.3418,old 9.png
162,8,11.6569,0.7398,2.3918,0.4181,0.8889,3.1915,old 9.png
163,10,11.8995,0.8875,1.6435,0.6085,0.8000,3.5682,old 9.png
